vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,503.bwaves_r,t_503.bwaves_r,507.cactuBSSN_r,t_507.cactuBSSN_r,508.namd_r,t_508.namd_r,510.parest_r,t_510.parest_r,511.povray_r,t_511.povray_r,519.lbm_r,t_519.lbm_r,521.wrf_r,t_521.wrf_r,526.blender_r,t_526.blender_r,527.cam4_r,t_527.cam4_r,538.imagick_r,t_538.imagick_r,544.nab_r,t_544.nab_r,549.fotonik3d_r,t_549.fotonik3d_r,554.roms_r,t_554.roms_r
Intel,Lenovo Global Technology,Xeon Gold 5220S,Lenovo Global Technology,2700,3900,x86_64,72,2,18,2,4,32,32,1024.0,25344.0,197684344,12,16777216.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,No,xfs,72,cpu2017-20190902-17567.csv,449.87544,1604.924312,153.037656,595.618113,146.925216,465.54307,109.334232,1722.717455,216.601848,776.170721,105.90444,716.570742,194.933376,827.359726,198.994248,551.05105,219.847176,572.797826,446.692824,400.866107,317.911032,381.163262,142.466832,1969.469325,87.404904,1308.942075
Intel,Lenovo Global Technology,Xeon Gold 6226,Lenovo Global Technology,2700,3700,x86_64,48,2,12,2,4,32,32,1024.0,19712.0,395880772,12,33554432.0,2933,480.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.0.117 of Intel,No,xfs,48,cpu2017-20190916-18068.csv,463.38312,1038.760363,128.608896,472.50225,117.596832,387.765533,109.155936,1150.354541,183.22896,611.693693,98.739888,512.376529,188.396976,570.709859,174.780768,418.261096,178.213296,471.075946,376.348032,317.195759,275.12184,293.629919,142.764576,1310.240798,86.13216,885.522735
Intel,Dell Inc.,Celeron G4900,Dell Inc.,3100,3100,x86_64,2,1,2,1,1,32,32,256,2048.0,65821136,4,16777216.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,2,cpu2017-20190401-11590.csv,56.092792,357.550402,9.067756,279.231157,6.314918,300.874863,9.9573,525.443637,12.514456,373.168436,11.494936,183.385091,12.736198,351.753342,9.530868,319.593128,10.381122,336.957791,11.067356,449.429854,10.369284,324.612567,12.580956,619.507816,8.19163,387.956992
Intel,NEC Corporation,Xeon Bronze 3104,NEC Corporation,1700,1700,x86_64,12,1,6,2,2,32,32,1024.0,8448.0,395932708,24,16777216.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,No,ext4,12,cpu2017-20181112-09517.csv,206.625576,582.386752,34.299576,442.920904,26.039676,437.79353,32.215512,974.437423,42.520824,658.971189,47.83308,264.419486,40.60572,661.975738,36.672972,498.350688,27.813,754.611073,88.620324,336.762485,51.109692,395.15008,72.951684,641.027028,35.132556,542.744468
Intel,Lenovo Global Technology,Xeon Gold 6238L,Lenovo Global Technology,2100,3700,x86_64,88,2,22,2,4,32,32,1024.0,30976.0,395871888,24,16777216.0,2933,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel,No,xfs,88,cpu2017-20190917-18267.csv,524.331104,1683.028201,193.741944,575.032946,172.08356,485.810518,122.70544,1876.10299,264.206272,777.725551,122.935208,754.478468,218.011376,904.173075,259.591464,516.288147,256.678488,599.629507,548.290424,399.160696,394.206032,375.702032,169.134768,2027.590133,97.829248,1429.347221
Intel,Lenovo Global Technology,Xeon Platinum 8160M,Lenovo Global Technology,2100,3700,x86_64,192,2,24,4,8,32,32,1024.0,33792.0,1584974096,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,No,btrfs,192,cpu2017-20180528-06016.csv,972.230976,1980.368774,391.011648,621.648931,347.527872,524.850074,227.525184,2207.544559,536.667456,835.377552,231.549504,873.972715,434.584512,989.634953,488.15424,599.023884,501.100992,670.140282,739.908288,645.355637,636.690816,507.52421,297.315264,2516.602138,185.289408,1646.54848
AMD,Lenovo Global Technology,EPYC 7402,Lenovo Global Technology,2800,3350,x86_64,48,2,24,1,4,32,32,512,131072.0,263945864,8,33554432.0,3200,960.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,No,xfs,48,cpu2017-20190916-18042.csv,295.221264,1630.451647,261.127584,232.713826,139.82976,326.110869,106.239216,1181.936204,210.317616,532.908287,75.95208,666.104163,182.797056,588.193356,201.677904,362.479006,180.530544,465.029399,560.36952,213.030853,248.282688,325.371069,104.435616,1791.113345,68.077728,1120.366096
Intel,Cisco Systems,Xeon Silver 4116,Cisco Systems,2100,3000,x86_64,48,2,12,2,4,32,32,1024.0,16896.0,394831812,24,16777216.0,2666,1024.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,48,cpu2017-20171225-02066.csv,378.98136,1270.099453,100.621728,603.925326,80.4192,567.028764,77.890992,1612.099295,126.519024,885.874514,85.51848,591.591592,144.158064,745.847946,115.443696,633.243639,111.791472,750.969604,165.33408,722.029077,145.122288,556.661651,114.73632,1630.312008,65.846352,1158.332922
Intel,Dell Inc.,Xeon Silver 4110,Dell Inc.,2100,3000,x86_64,32,2,8,2,2,32,32,1024.0,11264.0,196687636,12,16777216.0,2666,960.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,No,btrfs,32,cpu2017-20180122-02880.csv,213.871616,1500.414209,64.1696,631.326965,51.339296,592.139039,38.421312,2178.791501,90.298816,827.47472,59.716,564.806842,71.385248,1004.12893,73.25792,665.265925,60.02304,932.441885,108.658304,732.424424,83.990944,641.211895,84.70848,1472.154658,43.12528,1179.076099
Intel,Lenovo Global Technology,Xeon Gold 6148,Lenovo Global Technology,2400,3700,x86_64,80,2,20,2,4,32,32,1024.0,28160.0,395749780,12,33554432.0,2666,800.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,80,cpu2017-20180528-05944.csv,453.37112,1769.499456,172.7868,586.155926,151.96808,500.105054,111.73376,1873.024395,238.92176,781.845823,107.61568,783.529163,201.53168,889.19031,213.6524,570.271981,222.2036,629.692775,327.22752,608.017356,283.87192,474.298351,137.7328,2263.513721,86.10744,1476.294547
