vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,603.bwaves_s,t_603.bwaves_s,607.cactuBSSN_s,t_607.cactuBSSN_s,619.lbm_s,t_619.lbm_s,621.wrf_s,t_621.wrf_s,627.cam4_s,t_627.cam4_s,628.pop2_s,t_628.pop2_s,638.imagick_s,t_638.imagick_s,644.nab_s,t_644.nab_s,649.fotonik3d_s,t_649.fotonik3d_s,654.roms_s,t_654.roms_s
Intel,Hewlett Packard Enterprise,Xeon Gold 5215,HPE,2500,3400,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,395628868,24,16777216.0,2666,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,xfs,20,cpu2017-20190513-13923.csv,356.915201,165.299768,90.498117,184.202727,68.912371,76.009575,70.552922,187.462115,58.967779,150.302422,58.690329,202.299088,65.288051,220.95927,122.059531,143.143267,63.046811,144.590978,69.585613,226.268036
Intel,Cisco Systems,Xeon Platinum 8153,Cisco Systems,2000,2800,x86_64,64,1,16,4,4,32,32,1024.0,22528.0,1583915932,48,33554432.0,2666,1024.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,64,cpu2017-20181127-09991.csv,850.614464,69.359272,172.443305,96.669453,76.505262,68.465879,66.79252,198.016185,96.871637,91.492208,36.876471,321.966821,135.978655,106.09018,244.369823,71.49819,101.406507,89.895612,232.554523,67.704553
Intel,Huawei,Xeon Platinum 8276L,Huawei,2200,4000,x86_64,56,1,28,2,2,32,32,1024.0,39424.0,394423724,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,56,cpu2017-20190415-12032.csv,506.391104,116.506786,172.437956,96.672452,103.245386,50.733502,121.132847,109.185909,115.14785,76.970608,55.097294,215.491525,154.306341,93.489353,280.223694,62.350188,89.426987,101.937908,155.118845,101.502819
Intel,Hewlett Packard Enterprise,Xeon Silver 4216,HPE,2100,3200,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,395626568,24,16777216.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,xfs,32,cpu2017-20190723-16342.csv,434.776479,135.697313,124.902194,133.464429,85.635856,61.165968,108.801633,121.560676,71.850694,123.353018,63.164569,187.969302,83.413782,172.945041,168.64686,103.601099,71.07618,128.256753,137.928135,114.15365
AMD,Dell Inc.,EPYC 7452,Dell Inc.,2350,3350,x86_64,128,2,32,2,16,32,32,512,131072.0,527961860,16,33554432.0,3200,960.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,64,cpu2017-20190930-18851.csv,565.30849,104.364256,230.071442,72.455755,52.500912,99.769695,125.659928,105.252328,103.495128,85.636881,56.584994,209.825947,222.463808,64.846503,309.149919,56.516269,83.347724,109.373112,217.586549,72.36201
Intel,Lenovo Global Technology,Xeon Silver 4210R,Lenovo Global Technology,2400,3200,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,792302664,24,33554432.0,2933,800.0,RHEL,8.1,Red Hat Enterprise Linux 8.1,C/C++: Version 19.0.5.281 of Intel,Yes,xfs,20,cpu2017-20200414-22046.csv,335.565664,175.816558,90.223709,184.762966,71.153257,73.615745,79.323937,166.734033,46.911377,188.930716,54.915068,216.206598,63.331755,227.784623,119.854036,145.777319,65.70162,138.748482,67.086231,234.697937
Intel,NEC Corporation,Xeon Gold 6234,NEC Corporation,3300,4000,x86_64,16,1,8,2,2,32,32,1024.0,25344.0,395926536,24,16777216.0,2933,1024.0,RHEL,7.7,Red Hat Enterprise Linux Server release 7.7,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,ext4,16,cpu2017-20200608-22583.csv,458.819193,128.5866,95.220672,175.067028,80.348089,65.191345,103.714233,127.523481,54.028666,164.042547,63.508254,186.952076,69.580709,207.327579,126.910916,137.671373,82.527854,110.459676,111.040434,141.795195
Intel,Cisco Systems,Xeon Gold 5215,Cisco Systems,2500,3400,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,791179536,24,33554432.0,2933,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,20,cpu2017-20190903-17720.csv,381.354381,154.706496,97.452909,171.056976,75.035355,69.807093,84.281214,156.927023,52.345319,169.31791,62.598742,189.668347,65.699576,219.575238,122.1393,143.04978,69.115849,131.894495,83.128216,189.406205
Intel,Lenovo Global Technology,Xeon Gold 6238,Lenovo Global Technology,2100,3700,x86_64,176,2,22,4,4,32,32,1024.0,30976.0,1584959312,48,33554432.0,2933,800.0,RHEL,7.6,Red Hat Enterprise Linux Server release 7.6,C/C++: Version 19.0.4.227 of Intel,Yes,tmpfs,88,cpu2017-20190917-18317.csv,881.39137,66.937347,200.896013,82.978252,167.178559,31.331769,131.763805,100.376579,150.43883,58.914311,64.038549,185.403952,192.167966,75.069744,351.628451,49.688812,118.905072,76.6662,285.360999,55.175725
Intel,Cisco Systems,Xeon Gold 5222,Cisco Systems,3800,3900,x86_64,16,1,4,4,4,32,32,1024.0,16896.0,1583902596,48,33554432.0,2933,300.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,16,cpu2017-20191029-19403.csv,497.155379,118.671149,87.641942,190.205734,81.300663,64.427519,92.533725,142.931671,50.119235,176.838293,51.550313,230.318679,67.119176,214.931126,121.572996,143.716126,80.634618,113.05318,101.503825,155.117307
Intel,Lenovo Global Technology,Xeon Gold 6138T,Lenovo Global Technology,2000,3700,x86_64,80,1,20,4,4,32,32,1024.0,28160.0,1584975732,48,33554432.0,2666,960.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,80,cpu2017-20180611-06812.csv,837.332536,70.459462,205.461527,81.134411,79.289573,66.06165,72.123724,183.379328,123.222827,71.926608,47.276981,251.137019,172.475457,83.640886,318.43863,54.867715,113.820275,80.091179,244.375723,64.429477
Intel,Hewlett Packard Enterprise,Xeon Platinum 8280,HPE,2700,4000,x86_64,28,1,28,1,1,32,32,1024.0,39424.0,197720616,6,33554432.0,2933,600.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,btrfs,28,cpu2017-20190319-11386.csv,278.826668,211.593821,137.816414,120.958016,55.221253,94.854784,114.918808,115.089951,77.843601,113.856501,71.3644,166.371468,97.424223,148.074058,189.851195,92.029971,51.028018,178.646953,75.17738,209.437998
Intel,Cisco Systems,Xeon Gold 6146,Cisco Systems,3200,4200,x86_64,24,1,12,2,2,32,32,1024.0,25344.0,791238728,24,33554432.0,2666,240.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,24,cpu2017-20190122-10813.csv,457.78295,128.87767,121.145991,137.602572,89.317251,58.644886,112.356215,117.714895,71.683011,123.64157,66.891502,177.496388,94.111218,153.286721,179.409458,97.38617,81.481049,111.878776,116.265552,135.422743
Intel,Lenovo Global Technology,Xeon Gold 5215,Lenovo Global Technology,2500,3400,x86_64,80,2,10,4,4,32,32,1024.0,14080.0,1584955332,48,33554432.0,2666,800.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,tmpfs,40,cpu2017-20190514-14101.csv,677.890298,87.031781,128.646144,129.580254,136.405216,38.400291,98.099704,134.822018,85.753712,103.354127,53.215082,223.113438,117.107951,123.185487,207.618508,84.154347,101.148879,90.124578,121.346234,129.752688
Intel,Dell Inc.,Xeon Gold 6208U,Dell Inc.,2900,3900,x86_64,32,2,16,1,2,32,32,1024.0,22528.0,196653716,6,33554432.0,2933,480.0,CentOS,8,CentOS Linux 8.1.1911,C/C++: Version 19.1.1.217 of Intel C/C++,Yes,tmpfs,32,cpu2017-20200525-22505.csv,253.278855,232.936934,100.320383,166.167627,44.262087,118.340556,95.626653,138.30872,64.052657,138.370528,58.825647,201.833734,62.95863,229.134593,134.22287,130.171557,49.490434,184.197213,59.040715,266.680374
