vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,500.perlbench_r,t_500.perlbench_r,502.gcc_r,t_502.gcc_r,505.mcf_r,t_505.mcf_r,520.omnetpp_r,t_520.omnetpp_r,523.xalancbmk_r,t_523.xalancbmk_r,525.x264_r,t_525.x264_r,531.deepsjeng_r,t_531.deepsjeng_r,541.leela_r,t_541.leela_r,548.exchange2_r,t_548.exchange2_r,557.xz_r,t_557.xz_r
Intel,Huawei,Xeon Platinum 8260L,Huawei,2400,3900,x86_64,96,2,24,2,4,32,32,1024.0,36608.0,394416876,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,No,xfs,96,cpu2017-20190428-12621.csv,212.332992,719.77505,224.854272,604.551639,358.965504,432.175225,179.5752,701.388541,300.203616,337.690841,559.236384,300.581295,232.338816,473.515368,223.910208,709.998947,493.486752,509.679367,185.9568,557.548879
Intel,ASUSTeK Computer Inc.,Xeon E-2124,ASUSTeK Computer Inc.,3300,4300,x86_64,4,1,4,1,1,32,32,256,8192.0,65867300,4,16777216.0,2666,500.0,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.4.227 of Intel C/C++,No,xfs,4,cpu2017-20190728-16439.csv,22.005492,289.382308,26.251452,215.7595,32.858816,196.720421,17.897844,293.219664,32.485452,130.027434,58.890288,118.933021,21.703268,211.21243,18.21706,363.615206,60.380424,173.566182,14.715896,293.560102
Intel,NEC Corporation,Xeon Gold 6142,NEC Corporation,2600,3700,x86_64,32,2,16,1,2,32,32,1024.0,22528.0,196476032,6,33554432.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,No,ext4,32,cpu2017-20180903-08760.csv,71.331072,714.190852,77.513888,584.566113,112.895456,458.052044,55.267808,759.646745,91.517568,369.2406,188.527808,297.208124,81.038176,452.527489,76.175424,695.657487,181.58288,461.717571,61.366976,563.169441
Intel,Dell Inc.,Pentium Gold G5500,Dell Inc.,3800,3800,x86_64,4,2,2,1,1,32,32,256,4096.0,65820840,4,16777216.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,4,cpu2017-20190401-11595.csv,11.434076,556.931693,14.335672,395.098326,15.151888,426.613554,8.703176,602.998139,15.087268,279.971146,18.8594,371.379784,12.144768,377.446486,10.638748,622.629721,16.518036,634.457928,8.497844,508.364321
Intel,Dell Inc.,Xeon Gold 6230,Dell Inc.,2100,3900,x86_64,80,2,20,2,4,32,32,1024.0,28160.0,394664916,12,33554432.0,2933,480.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.4.227 of Intel,No,ext4,80,cpu2017-20190708-15967.csv,165.89288,767.724287,177.96048,636.545872,282.34088,457.886173,142.53136,736.399263,243.85736,346.431985,434.15296,322.651256,180.56312,507.744867,173.13072,765.202225,443.10288,473.027852,144.60808,597.476908
AMD,Lenovo Global Technology,EPYC 7502,Lenovo Global Technology,2500,3350,x86_64,64,2,32,1,4,32,32,512,131072.0,263945560,8,33554432.0,3200,960.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,No,xfs,64,cpu2017-20190903-17658.csv,158.98432,640.868275,166.259776,545.074642,269.25152,384.116693,99.69376,842.259161,181.147712,373.087764,469.826752,238.521978,197.33632,371.670109,195.539328,542.008616,543.043968,308.77796,130.958144,527.802133
Intel,Huawei,Xeon Gold 6138,Huawei,2000,3700,x86_64,80,2,20,2,4,32,32,1024.0,28160.0,394621448,12,33554432.0,2666,1920.0,RHEL,7.6,Red Hat Enterprise Linux Server release 7.6,C/C++: Version 19.0.1.144 of Intel C/C++,No,xfs,80,cpu2017-20190414-11837.csv,155.17184,820.767476,162.16304,698.556209,259.76024,497.689776,133.56872,785.812765,219.73752,384.458638,407.1616,344.040272,164.57688,557.064906,159.4408,830.904065,353.33032,593.212591,134.98832,640.055502
Intel,Dell Inc.,Xeon Bronze 3204,Dell Inc.,1900,1900,x86_64,12,1,6,2,2,32,32,1024.0,8448.0,395665932,12,33554432.0,2933,480.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.1.144 of Intel C/C++,No,ext4,12,cpu2017-20190527-14523.csv,32.39148,589.784816,37.805316,449.460647,50.364132,385.035893,29.567628,532.474148,49.715784,254.888873,70.834356,296.635714,32.410716,424.304161,27.020244,735.448507,73.351848,428.619081,23.526924,550.858153
Intel,Lenovo Global Technology,Xeon Gold 5218,Lenovo Global Technology,2300,3900,x86_64,64,2,16,2,4,32,32,1024.0,22528.0,197697404,12,16777216.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,No,btrfs,64,cpu2017-20190429-12889.csv,139.942528,728.070191,153.701184,589.611501,251.35136,411.471773,124.282624,675.621457,215.844928,313.113727,334.843968,334.675274,151.207296,485.055951,142.083328,745.928425,319.48992,524.836606,120.309312,574.519266
Intel,NEC Corporation,Xeon Gold 6136,NEC Corporation,3000,3700,x86_64,48,2,12,2,4,32,32,1024.0,25344.0,197745732,12,16777216.0,2666,600.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,No,ext4,48,cpu2017-20180917-08878.csv,107.686176,709.617425,119.651376,568.050383,174.288096,445.056227,85.070832,740.277208,146.224032,346.646121,298.01376,282.027254,124.051104,443.430208,119.176272,666.978361,278.009856,452.358067,94.919424,546.147547
