vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,600.perlbench_s,t_600.perlbench_s,602.gcc_s,t_602.gcc_s,605.mcf_s,t_605.mcf_s,620.omnetpp_s,t_620.omnetpp_s,623.xalancbmk_s,t_623.xalancbmk_s,625.x264_s,t_625.x264_s,631.deepsjeng_s,t_631.deepsjeng_s,641.leela_s,t_641.leela_s,648.exchange2_s,t_648.exchange2_s,657.xz_s,t_657.xz_s
Intel,Dell Inc.,Xeon Gold 6142,Dell Inc.,2600,3700,x86_64,64,2,16,2,2,32,32,1024.0,22528.0,196690028,12,16777216.0,2666,480.0,CentOS,7,CentOS Linux release 7.4.1708 (Core),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,64,cpu2017-20180122-02797.csv,6.142009,288.993404,9.153443,435.027554,10.774145,438.178636,5.818907,280.293198,9.423348,150.371179,11.606773,151.980226,5.037895,284.444181,4.317659,395.121495,13.30318,220.999789,22.648186,272.957846
AMD,ASUSTeK Computer Inc.,EPYC 7F72,ASUSTeK Computer Inc.,3200,3700,x86_64,48,2,24,1,2,32,32,512,196608.0,528195408,8,67108864.0,3200,240.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,24,cpu2017-20200316-21239.csv,5.071099,350.022727,10.37809,383.692949,16.587158,284.617772,5.180852,314.813071,10.50474,134.891491,14.010362,125.906809,5.326267,269.043954,4.721932,361.292819,17.889442,164.342741,22.580454,273.776601
Intel,Huawei,Xeon Gold 6254,Huawei,3100,4000,x86_64,36,1,18,2,2,32,32,1024.0,25344.0,394428348,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,36,cpu2017-20190425-12253.csv,6.93771,255.848112,10.006691,397.933744,12.868998,366.850642,7.941341,205.380924,12.732697,111.288283,14.515845,121.52238,5.597957,255.986237,4.900143,348.153137,14.453842,203.406129,23.482178,263.263483
Intel,Huawei,Xeon Platinum 8153,Huawei,2000,2800,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,394174888,12,33554432.0,2666,2000.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,32,cpu2017-20180810-08309.csv,4.765023,372.506069,7.725577,515.430764,9.356976,504.543367,5.261041,310.014707,7.446372,190.294007,8.767885,201.18876,4.083846,350.894681,3.264877,522.531239,10.182631,288.726938,18.124597,341.083451
Intel,Lenovo Global Technology,Xeon Gold 6242,Lenovo Global Technology,2800,3900,x86_64,64,2,16,2,2,32,32,1024.0,22528.0,395878324,12,33554432.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.4.227 of Intel,Yes,xfs,64,cpu2017-20190624-15486.csv,6.814707,260.466066,9.752079,408.323186,12.454283,379.066385,7.26119,224.618821,12.40921,114.189378,14.181946,124.383496,5.44346,263.251685,4.745522,359.496805,16.609088,177.011521,23.67342,261.136752
Intel,Lenovo Global Technology,Xeon Platinum 8280L,Lenovo Global Technology,2700,4000,x86_64,112,1,28,4,4,32,32,1024.0,39424.0,1584784920,48,33554432.0,2933,800.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,112,cpu2017-20190415-12055.csv,6.890026,257.618756,10.102855,394.146028,12.946845,364.644825,9.372322,174.023035,12.643058,112.077313,14.741169,119.664865,5.534792,258.907654,4.889273,348.927136,14.424891,203.814364,25.639976,241.107868
Intel,NEC Corporation,Xeon Bronze 3104,NEC Corporation,1700,1700,x86_64,6,1,6,1,1,32,32,1024.0,8448.0,196476496,6,33554432.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,ext4,6,cpu2017-20180809-08222.csv,2.816262,630.268064,4.612732,863.26278,5.951945,793.1861,3.031529,538.012334,4.464464,317.395319,5.441192,324.193661,2.551276,561.679812,1.987922,858.182746,6.122415,480.202695,5.937221,1041.227926
Intel,Lenovo Global Technology,Xeon Gold 6238T,Lenovo Global Technology,1900,3700,x86_64,88,2,22,2,2,32,32,1024.0,30976.0,197692180,12,16777216.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,btrfs,88,cpu2017-20190527-14612.csv,6.456765,274.905482,9.632003,413.413475,12.147598,388.6365,8.230396,198.167873,11.934154,118.734852,13.713629,128.631161,5.208373,275.133897,4.524387,377.067682,13.32279,220.674493,23.06107,268.070827
Intel,Dell Inc.,Xeon Platinum 8158,Dell Inc.,3000,3700,x86_64,48,1,12,4,4,32,32,1024.0,25344.0,791225344,48,16777216.0,2666,900.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,48,cpu2017-20171030-00247.csv,6.177324,287.341252,9.307633,427.820904,10.827759,436.008964,6.381822,255.569667,9.514204,148.935209,11.74553,150.184789,5.024152,285.222234,4.332407,393.77652,13.361748,220.031087,23.305348,265.261007
AMD,Dell Inc.,EPYC 7502P,Dell Inc.,2500,3350,x86_64,64,2,32,1,8,32,32,512,131072.0,263737712,8,33554432.0,3200,480.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,32,cpu2017-20191111-19700.csv,4.56699,388.658645,9.321111,427.20229,14.174257,333.068616,4.723156,345.31997,8.892562,159.346647,12.181854,144.805543,4.689027,305.60708,4.149286,411.155081,15.719159,187.032901,19.569439,315.900729
Intel,Huawei,Xeon Gold 6128,Huawei,3400,3700,x86_64,12,1,6,2,2,32,32,1024.0,19712.0,394117236,24,16777216.0,2666,1200.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,24,cpu2017-20180127-03127.csv,6.165153,287.908501,9.084082,438.349173,10.949117,431.176325,5.569366,292.852023,9.554487,148.307283,11.389366,154.881315,5.148719,278.321666,4.312361,395.606923,13.434864,218.833623,14.606928,423.22383
Intel,Dell Inc.,Xeon Silver 4208,Dell Inc.,2100,3200,x86_64,32,2,8,2,2,32,32,1024.0,11264.0,197484452,12,16777216.0,2933,480.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.1.144 of Intel C/C++,Yes,ext4,32,cpu2017-20190513-13631.csv,5.199033,341.409627,7.420221,536.641693,10.025473,470.900473,4.87772,334.377557,10.199247,138.931822,11.123738,158.57978,4.513262,317.508689,3.850647,443.042471,11.323516,259.636662,15.475527,399.469423
AMD,Lenovo Global Technology,EPYC 7502P,Lenovo Global Technology,2500,3350,x86_64,32,1,32,1,4,32,32,512,131072.0,263948896,8,33554432.0,3200,960.0,RHEL,8.0,Red Hat Enterprise Linux release 8.0,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,32,cpu2017-20190916-18049.csv,4.783149,371.094418,9.64578,412.823011,15.054766,313.588395,5.057738,322.476167,9.340703,151.701643,12.482685,141.315746,4.879758,293.662097,4.231017,403.212797,15.984738,183.925437,20.310911,304.368425
Intel,Dell Inc.,Xeon Gold 6254,Dell Inc.,3100,4000,x86_64,36,1,18,2,2,32,32,1024.0,25344.0,394675928,12,33554432.0,2933,480.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,ext4,36,cpu2017-20190916-17972.csv,6.778667,261.850883,9.477192,420.166629,12.235684,385.838678,7.785637,209.488316,12.700819,111.567609,14.323243,123.156468,5.601343,255.831493,4.893774,348.606238,17.105535,171.87419,21.518785,287.283881
Intel,Dell Inc.,Xeon Gold 5120,Dell Inc.,2200,3200,x86_64,56,1,14,4,4,32,32,1024.0,19712.0,791251968,24,33554432.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,56,cpu2017-20180820-08538.csv,5.369268,330.585098,7.831595,508.45323,9.335394,505.709783,5.201854,313.542047,8.282375,171.086188,9.840428,179.260495,4.402142,325.52338,3.725348,457.943791,11.591629,253.631295,20.122017,307.225666
Intel,Huawei,Xeon Gold 5217,Huawei,3000,3700,x86_64,16,1,8,2,2,32,32,1024.0,11264.0,394433308,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,16,cpu2017-20190428-12617.csv,6.167184,287.813679,8.823652,451.287085,12.018355,392.815814,5.406023,301.700537,11.7933,120.152969,13.147845,134.166472,5.250254,272.939158,4.538163,375.923026,13.346937,220.275262,19.203516,321.920223
Intel,Lenovo Global Technology,Xeon Platinum 8180M,Lenovo Global Technology,2500,3800,x86_64,112,1,28,4,4,32,32,1024.0,39424.0,792262420,48,16777216.0,2666,800.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,112,cpu2017-20180821-08640.csv,6.373903,278.479295,9.537874,417.493459,11.269543,418.916734,7.569316,215.475208,9.58626,147.815727,12.154726,145.128733,5.06381,282.9885,4.450337,383.341719,13.716011,214.34804,24.850663,248.766002
